iter	RMSE
0	3535.324918
1	3252.011298
2	3003.092918
3	2780.865043
4	2586.06162
5	2416.776986
6	2268.768947
7	2138.868326
8	2028.586726
9	1931.264512
10	1846.624333
11	1773.943574
12	1711.818673
13	1659.536553
14	1614.571016
15	1576.724114
16	1542.44867
17	1513.594334
18	1490.095617
19	1469.380852
20	1451.665038
21	1436.204795
22	1423.413212
23	1412.466067
24	1400.724662
25	1391.924899
26	1384.797218
27	1377.358126
28	1371.315691
29	1366.28948
30	1360.066881
31	1355.641553
32	1350.10073
33	1346.058632
34	1341.891263
35	1338.308388
36	1333.807317
37	1331.218505
38	1327.089099
39	1324.721081
40	1322.752898
41	1320.523655
42	1315.487044
43	1313.493473
44	1311.43285
45	1309.85545
46	1306.204202
47	1304.377872
48	1303.299729
49	1299.837244
50	1298.557283
51	1297.35714
52	1296.338173
53	1293.392575
54	1292.35391
55	1291.232187
56	1290.157516
57	1287.784335
58	1285.578722
59	1284.292908
60	1283.377921
61	1282.732473
62	1280.741281
63	1280.018382
64	1278.59319
65	1276.351971
66	1275.186205
67	1274.338275
68	1271.691448
69	1270.964492
70	1268.875321
71	1268.264905
72	1267.38164
73	1266.338817
74	1265.639057
75	1264.844632
76	1263.851739
77	1261.292005
78	1260.716325
79	1259.56823
80	1258.430825
81	1257.719097
82	1255.715749
83	1255.073954
84	1253.962393
85	1252.025037
86	1251.422312
87	1250.23822
88	1249.713566
89	1247.820981
90	1246.975866
91	1246.399982
92	1244.850282
93	1243.434627
94	1242.66668
95	1242.13231
96	1241.72342
97	1240.981579
98	1238.990256
99	1236.605598
100	1235.987894
101	1234.843759
102	1233.802728
103	1233.181883
104	1232.081019
105	1230.388527
106	1229.563057
107	1228.033807
108	1227.518878
109	1226.064001
110	1225.208912
111	1224.130138
112	1222.692913
113	1220.481781
114	1220.118117
115	1219.531216
116	1219.030628
117	1218.365752
118	1217.631753
119	1216.526183
120	1216.239266
121	1215.794949
122	1214.282296
123	1213.079736
124	1212.675611
125	1211.807029
126	1211.178813
127	1209.887536
128	1209.178996
129	1207.938509
130	1207.55898
131	1207.285156
132	1206.860896
133	1205.835512
134	1205.524076
135	1204.092747
136	1202.497213
137	1202.194855
138	1200.686748
139	1199.412688
140	1199.001603
141	1198.095575
142	1197.274107
143	1196.842791
144	1195.805418
145	1195.144826
146	1194.454756
147	1193.767538
148	1192.994685
149	1192.69952
150	1192.121152
151	1191.677516
152	1191.306499
153	1189.575296
154	1188.325433
155	1187.341106
156	1186.297784
157	1185.805214
158	1184.720819
159	1184.49393
160	1184.121788
161	1183.338032
162	1182.72461
163	1181.965292
164	1181.66354
165	1181.125709
166	1180.406716
167	1179.91309
168	1179.599131
169	1178.768359
170	1178.364995
171	1177.981456
172	1177.464476
173	1176.751384
174	1175.91227
175	1174.770485
176	1174.197345
177	1173.523302
178	1173.133308
179	1172.79285
180	1172.154087
181	1171.547845
182	1170.181546
183	1169.980866
184	1168.795025
185	1167.98724
186	1167.292427
187	1166.286779
188	1165.962083
189	1165.295184
190	1164.223516
191	1163.596527
192	1162.863398
193	1162.106311
194	1161.561725
195	1160.988632
196	1160.362917
197	1159.55044
198	1159.196091
199	1159.026999
