iter	Passed	Remaining
0	37	7556
1	73	7293
2	109	7186
3	146	7171
4	182	7115
5	217	7034
6	253	6987
7	286	6875
8	319	6781
9	353	6713
10	386	6641
11	420	6589
12	454	6539
13	489	6502
14	522	6443
15	567	6526
16	602	6482
17	634	6419
18	668	6371
19	703	6328
20	736	6273
21	768	6220
22	799	6155
23	830	6093
24	863	6045
25	896	6000
26	929	5955
27	964	5927
28	996	5878
29	1030	5837
30	1065	5808
31	1100	5777
32	1133	5735
33	1168	5702
34	1203	5675
35	1237	5636
36	1271	5599
37	1307	5575
38	1340	5533
39	1372	5490
40	1405	5452
41	1440	5420
42	1474	5384
43	1509	5351
44	1545	5323
45	1579	5286
46	1615	5258
47	1650	5225
48	1681	5182
49	1714	5144
50	1744	5096
51	1778	5060
52	1810	5021
53	1841	4979
54	1874	4942
55	1910	4911
56	1941	4869
57	1970	4825
58	2001	4784
59	2031	4740
60	2060	4695
61	2087	4646
62	2114	4598
63	2145	4558
64	2171	4509
65	2200	4468
66	2229	4426
67	2258	4384
68	2286	4340
69	2313	4296
70	2340	4251
71	2366	4207
72	2398	4173
73	2429	4136
74	2459	4099
75	2495	4071
76	2523	4031
77	2558	4001
78	2587	3962
79	2613	3920
80	2644	3885
81	2671	3844
82	2703	3810
83	2739	3783
84	2769	3746
85	2802	3714
86	2835	3683
87	2867	3649
88	2903	3621
89	2935	3587
90	2965	3552
91	2999	3520
92	3029	3486
93	3062	3453
94	3090	3415
95	3124	3384
96	3158	3353
97	3185	3315
98	3216	3281
99	3247	3247
100	3278	3214
101	3311	3181
102	3342	3147
103	3371	3111
104	3401	3077
105	3432	3044
106	3463	3009
107	3497	2979
108	3527	2944
109	3562	2914
110	3591	2879
111	3618	2842
112	3650	2810
113	3684	2779
114	3715	2746
115	3745	2712
116	3773	2677
117	3805	2644
118	3833	2609
119	3859	2573
120	3889	2539
121	3921	2507
122	3949	2472
123	3979	2438
124	4009	2405
125	4036	2370
126	4064	2336
127	4092	2301
128	4119	2267
129	4153	2236
130	4177	2200
131	4209	2168
132	4235	2133
133	4267	2101
134	4294	2067
135	4327	2036
136	4359	2004
137	4392	1973
138	4422	1940
139	4453	1908
140	4485	1876
141	4515	1844
142	4548	1813
143	4574	1778
144	4605	1746
145	4632	1713
146	4661	1680
147	4693	1649
148	4724	1617
149	4756	1585
150	4784	1552
151	4810	1519
152	4841	1487
153	4872	1455
154	4905	1424
155	4936	1392
156	4972	1361
157	5003	1329
158	5033	1297
159	5067	1266
160	5098	1234
161	5127	1202
162	5154	1170
163	5187	1138
164	5220	1107
165	5248	1074
166	5277	1042
167	5305	1010
168	5332	978
169	5363	946
170	5391	914
171	5419	882
172	5447	850
173	5479	818
174	5507	786
175	5541	755
176	5568	723
177	5603	692
178	5631	660
179	5664	629
180	5694	597
181	5722	565
182	5752	534
183	5784	503
184	5813	471
185	5846	440
186	5883	409
187	5920	377
188	5949	346
189	5986	315
190	6022	283
191	6055	252
192	6092	220
193	6124	189
194	6157	157
195	6196	126
196	6228	94
197	6264	63
198	6296	31
199	6331	0
